id,GMSTP,SRSTR,PLHTN,HER
EMF2200587142,27.23,5.09,306.75,0.37
EMF2200589660,28.77,4.9,301.35,0.35
EMF2201896216,27,5.25,270.97,0.39
EMF2001643890,31.06,4.94,328.87,0.38
EMF2001644273,30.28,5.55,289.69,0.34
EMF2100247638,29,5.21,311.6,0.37
EMF2100774830,27.9,5.79,288.08,0.34
EMF2100161871,27.27,5.89,286.21,0.36
EMF2000987825,28.72,6.26,307.89,0.39
EMF2000987458,27.91,5.82,319.77,0.38
EMF2100238741,34.18,4.09,307.83,0.43
EMF2100157176,27.5,5.52,313.13,0.36
EMF2100768822,30.06,4.91,296.13,0.38
EMF2100289895,30.79,4.16,293.64,0.39
EMF2200587680,23.73,6.32,300.06,0.38
EMF2200589375,26.11,6.89,313.82,0.36
EMF2200587745,26.6,5.76,311.2,0.34
EMF2200590233,23.54,7.15,309.89,0.36
EMF2000987995,29.46,5.96,301.36,0.37
EMF2100289409,29.28,5.76,280.66,0.36
EMF2100239465,27.93,5.76,297.69,0.38
EMF2101786087,30.27,6.44,301.7,0.38
EMF2100239539,29.76,5.4,299.65,0.37
EMF2100288759,27.1,5.7,293.04,0.4
EMF2100288925,27.57,6.01,308.65,0.4
EMF2100288754,26.5,5.5,298.67,0.42
EMF2100287678,27.59,5.7,303.41,0.38
EMF2100775050,26.75,6.71,282.84,0.37
EMF2100289823,28.48,4.44,297.16,0.37
EMF2200591086,27.99,5.28,305.92,0.35
EMF2100775476,29.41,5.96,321.01,0.34
EMF2100772803,28.66,4.62,292.77,0.38
EMF2100288827,28.65,6.19,281.14,0.37
EMF2100247107,28.03,5.52,318.8,0.39
EMF2100246682,28.82,5.54,299.97,0.39
EMF2100289030,27.75,5.97,304.64,0.37
EMF2100287558,27.85,5.55,292.27,0.35
EMF2100289395,29.07,4.08,295.14,0.38
EMF2100287582,28.8,5.18,288.34,0.42
EMF2100289788,28.88,4.85,298.92,0.4
EMF2200463066,31.64,4.99,301.54,0.39
EMF2100289043,29.57,4.79,297.51,0.34
EMF2100247875,27.57,6.01,285.72,0.38
EMF2100774976,29.26,5.18,304.06,0.41
EMF2100774929,27.77,5.86,304.14,0.38
EMF2201896255,28.42,5.8,298.5,0.36
EMF2200588910,27.38,5.5,287.75,0.39
EMF2200587101,24.41,5.88,290.28,0.37
EMF2200588313,24.11,5.64,299.45,0.33
EMF2200590793,30.72,5.02,305.11,0.35
EMF2100774669,30.14,5.56,302.83,0.37
EMF2100775148,28.14,6.4,305.11,0.36
EMF2200481918,30.3,5.1,306,0.38
EMF2200590073,25.68,5.23,285.38,0.38
EMF2201896578,25.54,5.25,286.69,0.39
EMF2200587153,29.26,4.88,291.73,0.35
EMF2201896089,27.62,5.36,301.12,0.41
EMF2200591395,27.45,4.4,308.54,0.36
EMF2100288917,29.13,4.81,307.67,0.34
EMF2200589311,28.18,5.23,299.79,0.36
EMF2100289187,27.58,6.5,306.5,0.39
EMF2100289233,27.21,6.31,307.34,0.36
EMF2200589410,24.42,6.1,303.39,0.37
EMF2100288809,28.71,5.14,304.62,0.39
EMF2000987816,29.65,5.87,313.39,0.37
EMF2100239589,28.7,5.43,295.12,0.37
EMF2000987843,28.22,5.93,310.07,0.39
EMF2100239227,26.23,4.89,289.64,0.34
EMF2100239289,28.67,5.97,287.68,0.39
EMF2100289606,26.26,5.44,292.26,0.37
EMF2200591235,28.7,5.97,309.22,0.34
EMF2100288751,27.31,6.09,309.88,0.35
EMF2200590107,23.73,6.11,287.26,0.37
EMF2100774341,27.11,6.17,294.97,0.38
EMF2100289245,28.53,5.96,302.02,0.37
EMF2100289121,28.63,3.3,299.29,0.37
EMF2100288428,27.41,5.7,306.68,0.39
EMF2001643549,28.71,4.89,298.91,0.35
EMF2200589717,26.63,6.37,286.61,0.34
EMF2200588898,29.51,4.8,303.71,0.36
EMF2001644351,27.96,4.89,294.55,0.35
EMF2200589154,28.06,4.8,299.78,0.37
EMF2200589958,26.29,5.58,298.47,0.36
EMF2200588036,26.53,5.47,316.09,0.37
EMF2100773965,26.07,4.99,297.82,0.37
EMF2200587384,26.35,5.47,295.12,0.34
EMF2201896291,33.64,4.69,292.5,0.41
EMF2200591465,24.92,4.8,305.68,0.37
EMF2200588178,30.52,6.89,276.48,0.38
EMF2200588966,23.25,6.11,293.81,0.36
EMF2200591100,25.82,5.43,295.77,0.36
EMF2200590716,27.27,5.55,301.67,0.37
EMF2200588861,30.29,4.8,295.47,0.39
EMF2200587768,28.73,5.43,293.81,0.35
EMF2100288801,30.09,5.6,318.93,0.36
EMF2100289646,27.94,3.95,290.99,0.37
EMF2200588333,26.6,5.29,301.84,0.37
EMF2100289351,29.87,4.29,307.9,0.39
EMF2100288692,29.18,5.32,305.05,0.41
EMF2000514554,28.44,6.7,300.09,0.39
EMF2100289113,30.12,5.93,299.15,0.38
EMF2100772807,26.83,6.24,306.36,0.34
EMF2200589356,28.1,6.85,305.29,0.34
EMF2100289254,27.63,5.25,295.62,0.34
EMF2100288489,26.76,6,312.4,0.4
EMF2100248142,26.6,5.89,305.85,0.36
EMF2200591193,26.54,6.6,303.93,0.38
EMF2200590315,25.05,5.65,297,0.38
EMF2100288833,29.61,4.87,293.53,0.32
EMF2200587992,31.18,4.87,294.38,0.4
EMF2200588279,26.47,4.71,299.3,0.37
EMF2200590004,28.93,5.65,306.17,0.37
EMF2200587844,24.9,5.49,304.54,0.37
EMF2200588821,26.64,6.28,287.51,0.37
EMF2200588471,27.42,4.71,294.71,0.35
EMF2200588625,25.22,7.38,299.01,0.38
EMF2200590805,34.4,4.87,281.93,0.37
EMF2100769835,29.74,5.02,294.57,0.38
EMF2200590608,32.55,4.87,297,0.44
EMF2200590276,25.07,5.82,284.28,0.35
EMF2200589570,26.3,6.28,295.37,0.39
EMF2200589296,26.2,5.04,310.48,0.38
EMF2100770673,29,4.45,286.12,0.37
EMF2200590100,25.5,5.04,304.58,0.37
EMF2200591467,30.12,5.82,273.14,0.39
EMF2200590692,25.96,5.04,302.62,0.37
EMF2200590042,27.8,4.71,286.85,0.33
EMF2200590567,24.28,4.71,297.33,0.38
EMF2200587249,28.51,4.21,294.3,0.38
EMF2200587565,29.23,5.78,302.66,0.38
EMF2100289333,30.81,5.63,291.95,0.4
EMF2100775133,24.32,7.01,291.36,0.36
EMF2200587296,28.6,5.32,292.39,0.37
EMF2100289305,29.28,4.97,305.19,0.36
EMF2100288557,30.3,5.37,291.95,0.36
EMF2000514163,27.81,5.47,300.35,0.36
EMF2200591182,26.58,5.55,289.56,0.39
EMF2200588812,29.01,5.44,296.18,0.39
EMF2000318205,28.18,4.65,313.81,0.37
EMF2200590880,26.41,5.4,298.2,0.36
EMF2100290046,25,4.9,297.42,0.34
EMF2200590249,24.73,4.57,311.9,0.36
EMF2100774635,25.52,3.35,288.08,0.38
EMF2000514167,27.21,5.03,285.71,0.35
EMF2100288994,28.34,4.17,297.63,0.36
EMF2200588156,26.74,5.35,307.08,0.39
EMF2100289171,30.83,4.95,302.83,0.39
EMF2100288435,33.4,3.49,303.74,0.4
EMF2200587894,31.87,5.01,285.7,0.37
EMF2200589516,30.99,5.18,294.87,0.38
